,User,Tweet
0,janettwokay,LIST: Holiday 2022 events happening in San Francisco Bay Area https://t.co/IJmXYBeNfq
1,Daniboy_CFC,"List of Christmas light displays, holiday events happening in San Francisco Bay Area https://t.co/dpVYkbnLmU"
2,DanvillePatch,"Your guide to Santa visits, Hanukkah menorah fests, Nutcrackers, concerts, ice rinks, craft boutiques &amp; more in San Francisco Bay cities. https://t.co/T78DjqZHlr"
3,PetalumaPatch,"Your guide to Santa visits, Hanukkah menorah fests, Nutcrackers, concerts, ice rinks, craft boutiques &amp; more in San Francisco Bay cities. https://t.co/0KUnXci4si"
4,FremontPatch,"Your guide to Santa visits, Hanukkah menorah fests, Nutcrackers, concerts, ice rinks, craft boutiques &amp; more in San Francisco Bay cities. https://t.co/x2h5VmMit8"
5,AlamedaPatch,"Your guide to Santa visits, Hanukkah menorah fests, Nutcrackers, concerts, ice rinks, craft boutiques &amp; more in San Francisco Bay cities. https://t.co/4VPUL8eT6x"
6,PacificaCAPatch,"Your guide to Santa visits, Hanukkah menorah fests, Nutcrackers, concerts, ice rinks, craft boutiques &amp; more in San Francisco Bay cities. https://t.co/md3fyJWcse"
7,SantaCruzPatch,"Your guide to Santa visits, Hanukkah menorah fests, Nutcrackers, concerts, ice rinks, craft boutiques &amp; more in San Francisco Bay cities. https://t.co/FI8k5tEeoP"
8,sanrafaelpatch,"Your guide to Santa visits, Hanukkah menorah fests, Nutcrackers, concerts, ice rinks, craft boutiques &amp; more in San Francisco Bay cities. https://t.co/sUazqBmuS0"
9,SanRamonPatch,"Your guide to Santa visits, Hanukkah menorah fests, Nutcrackers, concerts, ice rinks, craft boutiques &amp; more in San Francisco Bay cities. https://t.co/2XrnR1bUiY"
10,LamorindaPatch,"Your guide to Santa visits, Hanukkah menorah fests, Nutcrackers, concerts, ice rinks, craft boutiques &amp; more in San Francisco Bay cities. https://t.co/SM9ibC1tqc"
11,SanLeandroPatch,"Your guide to Santa visits, Hanukkah menorah fests, Nutcrackers, concerts, ice rinks, craft boutiques &amp; more in San Francisco Bay cities. https://t.co/GIGb5Xr3U7"
12,RedwoodCPatch,"Your guide to Santa visits, Hanukkah menorah fests, Nutcrackers, concerts, ice rinks, craft boutiques &amp; more in San Francisco Bay cities. https://t.co/wVb2b29ReJ"
13,SanMateoPatch,"Your guide to Santa visits, Hanukkah menorah fests, Nutcrackers, concerts, ice rinks, craft boutiques &amp; more in San Francisco Bay cities. https://t.co/QrQ8o4Nvn1"
14,SanAnselmoPatch,"Your guide to Santa visits, Hanukkah menorah fests, Nutcrackers, concerts, ice rinks, craft boutiques &amp; more in San Francisco Bay cities. https://t.co/GdKGZezmJa"
15,NovatoPatch,"Your guide to Santa visits, Hanukkah menorah fests, Nutcrackers, concerts, ice rinks, craft boutiques &amp; more in San Francisco Bay cities. https://t.co/zYH4rhD56M"
16,MillValleyPatch,"Your guide to Santa visits, Hanukkah menorah fests, Nutcrackers, concerts, ice rinks, craft boutiques &amp; more in San Francisco Bay cities. https://t.co/efP2uuWFeN"
17,pleasantonpatch,"Your guide to Santa visits, Hanukkah menorah fests, Nutcrackers, concerts, ice rinks, craft boutiques &amp; more in San Francisco Bay cities. https://t.co/T2HRHxNHkL"
18,UnionCityPatch,"Your guide to Santa visits, Hanukkah menorah fests, Nutcrackers, concerts, ice rinks, craft boutiques &amp; more in San Francisco Bay cities. https://t.co/3v0NaECMiN"
19,NapaCAPatch,"Your guide to Santa visits, Hanukkah menorah fests, Nutcrackers, concerts, ice rinks, craft boutiques &amp; more in San Francisco Bay cities. https://t.co/ac0O7ZkpN9"
20,dj_semantic,"RT @DublinPatch: Your guide to Santa visits, Hanukkah menorah fests, Nutcrackers, concerts, ice rinks, craft boutiques &amp; more in San Franci…"
21,palopatch,"Your guide to Santa visits, Hanukkah menorah fests, Nutcrackers, concerts, ice rinks, craft boutiques &amp; more in San Francisco Bay cities. https://t.co/pAJrweo8Zd"
22,LivPatch,"Your guide to Santa visits, Hanukkah menorah fests, Nutcrackers, concerts, ice rinks, craft boutiques &amp; more in San Francisco Bay cities. https://t.co/GcarYdqXyq"
23,ConcordCAPatch,"Your guide to Santa visits, Hanukkah menorah fests, Nutcrackers, concerts, ice rinks, craft boutiques &amp; more in San Francisco Bay cities. https://t.co/cM7EzdZRuP"
24,DublinPatch,"Your guide to Santa visits, Hanukkah menorah fests, Nutcrackers, concerts, ice rinks, craft boutiques &amp; more in San Francisco Bay cities. https://t.co/bTt9OmON0h"
25,CValleyPatch,"Your guide to Santa visits, Hanukkah menorah fests, Nutcrackers, concerts, ice rinks, craft boutiques &amp; more in San Francisco Bay cities. https://t.co/5w6iMKI60e"
26,WCPatch,"Your guide to Santa visits, Hanukkah menorah fests, Nutcrackers, concerts, ice rinks, craft boutiques &amp; more in San Francisco Bay cities. https://t.co/gGIljelm74"
27,mactavish,RT @abc7newsbayarea: LIST: Holiday 2022 events happening in San Francisco Bay Area https://t.co/ljRP0jmZLX https://t.co/amoVxvE775
28,abc7newsbayarea,LIST: Holiday 2022 events happening in San Francisco Bay Area https://t.co/ljRP0jmZLX https://t.co/amoVxvE775
29,abc7newsbayarea,Looking to add some jolliness to your holiday plans? We've got you covered. We've compiled a list of events happening across the Bay Area to get you in the holiday spirit! https://t.co/Y46WUSdqhL
30,michelleized,I've unlocked rush to Christmas with C.S. Lewis on Goldstar. https://t.co/a5XGsLLOKd
31,mygildedwhimsy,I've unlocked rush to Christmas with C.S. Lewis on Goldstar. https://t.co/s1XRuAXIuR
32,thesfpeninsula,"It's that time of year! With crackling fires by the ocean, dazzling light displays, and local farms growing Christmas trees, the holidays are a special time here on The San Francisco Peninsula. Check out our guide for the top things to do. #thesfpeninsula https://t.co/k2sLg0CxgJ"
